ID	Name	Length
ENSG00000000003_TSPAN6	ENSG00000000003_TSPAN6	2206
ENSG00000000005_TNMD	ENSG00000000005_TNMD	1339
ENSG00000000419_DPM1	ENSG00000000419_DPM1	1161
ENSG00000000457_SCYL3	ENSG00000000457_SCYL3	6364
ENSG00000000460_C1orf112	ENSG00000000460_C1orf112	4355
ENSG00000000938_FGR	ENSG00000000938_FGR	2729
ENSG00000000971_CFH	ENSG00000000971_CFH	4127
ENSG00000001036_FUCA2	ENSG00000001036_FUCA2	2356
ENSG00000001084_GCLC	ENSG00000001084_GCLC	3813
ENSG00000001167_NFYA	ENSG00000001167_NFYA	3811
ENSG00000001460_STPG1	ENSG00000001460_STPG1	2804
ENSG00000001461_NIPAL3	ENSG00000001461_NIPAL3	5481
ENSG00000001497_LAS1L	ENSG00000001497_LAS1L	5205
ENSG00000001561_ENPP4	ENSG00000001561_ENPP4	4651
ENSG00000001617_SEMA3F	ENSG00000001617_SEMA3F	3802
ENSG00000001626_CFTR	ENSG00000001626_CFTR	6128
ENSG00000001629_ANKIB1	ENSG00000001629_ANKIB1	6081
ENSG00000001630_CYP51A1	ENSG00000001630_CYP51A1	3210
ENSG00000001631_KRIT1	ENSG00000001631_KRIT1	4762
ENSG00000002016_RAD52	ENSG00000002016_RAD52	2710
ENSG00000002330_BAD	ENSG00000002330_BAD	1157
ENSG00000002549_LAP3	ENSG00000002549_LAP3	2213
ENSG00000002586_CD99	ENSG00000002586_CD99	1245
ENSG00000002587_HS3ST1	ENSG00000002587_HS3ST1	8031
ENSG00000002726_AOC1	ENSG00000002726_AOC1	3135
ENSG00000002745_WNT16	ENSG00000002745_WNT16	3147
ENSG00000002746_HECW1	ENSG00000002746_HECW1	9501
ENSG00000002822_MAD1L1	ENSG00000002822_MAD1L1	2991
ENSG00000002834_LASP1	ENSG00000002834_LASP1	4109
ENSG00000002919_SNX11	ENSG00000002919_SNX11	2733
ENSG00000002933_TMEM176A	ENSG00000002933_TMEM176A	1530
ENSG00000003056_M6PR	ENSG00000003056_M6PR	2756
ENSG00000003096_KLHL13	ENSG00000003096_KLHL13	5331
ENSG00000003137_CYP26B1	ENSG00000003137_CYP26B1	4732
ENSG00000003147_ICA1	ENSG00000003147_ICA1	2458
ENSG00000003249_DBNDD1	ENSG00000003249_DBNDD1	2689
ENSG00000003393_ALS2	ENSG00000003393_ALS2	6644
ENSG00000003400_CASP10	ENSG00000003400_CASP10	5928
ENSG00000003402_CFLAR	ENSG00000003402_CFLAR	14672
ENSG00000003436_TFPI	ENSG00000003436_TFPI	3913
ENSG00000003509_NDUFAF7	ENSG00000003509_NDUFAF7	2176
ENSG00000003756_RBM5	ENSG00000003756_RBM5	3188
ENSG00000003987_MTMR7	ENSG00000003987_MTMR7	3850
ENSG00000003989_SLC7A2	ENSG00000003989_SLC7A2	7638
ENSG00000004059_ARF5	ENSG00000004059_ARF5	1103
ENSG00000004139_SARM1	ENSG00000004139_SARM1	7304
ENSG00000004142_POLDIP2	ENSG00000004142_POLDIP2	2588
ENSG00000004399_PLXND1	ENSG00000004399_PLXND1	7101
ENSG00000004455_AK2	ENSG00000004455_AK2	3586
ENSG00000004468_CD38	ENSG00000004468_CD38	5668
ENSG00000004478_FKBP4	ENSG00000004478_FKBP4	2267
ENSG00000004487_KDM1A	ENSG00000004487_KDM1A	3059
ENSG00000004534_RBM6	ENSG00000004534_RBM6	4324
ENSG00000004660_CAMKK1	ENSG00000004660_CAMKK1	3660
ENSG00000004700_RECQL	ENSG00000004700_RECQL	3702
ENSG00000004766_CCDC132	ENSG00000004766_CCDC132	3614
ENSG00000004776_HSPB6	ENSG00000004776_HSPB6	1634
ENSG00000004777_ARHGAP33	ENSG00000004777_ARHGAP33	4401
ENSG00000004779_NDUFAB1	ENSG00000004779_NDUFAB1	885
ENSG00000004799_PDK4	ENSG00000004799_PDK4	3576
ENSG00000004809_SLC22A16	ENSG00000004809_SLC22A16	1987
ENSG00000004838_ZMYND10	ENSG00000004838_ZMYND10	2896
ENSG00000004846_ABCB5	ENSG00000004846_ABCB5	5811
ENSG00000004848_ARX	ENSG00000004848_ARX	2876
ENSG00000004864_SLC25A13	ENSG00000004864_SLC25A13	3192
ENSG00000004866_ST7	ENSG00000004866_ST7	2899
ENSG00000004897_CDC27	ENSG00000004897_CDC27	5801
ENSG00000004939_SLC4A1	ENSG00000004939_SLC4A1	4965
ENSG00000004948_CALCR	ENSG00000004948_CALCR	3696
ENSG00000004961_HCCS	ENSG00000004961_HCCS	2277
ENSG00000004975_DVL2	ENSG00000004975_DVL2	3018
ENSG00000005001_PRSS22	ENSG00000005001_PRSS22	1386
ENSG00000005007_UPF1	ENSG00000005007_UPF1	5348
ENSG00000005020_SKAP2	ENSG00000005020_SKAP2	3998
ENSG00000005022_SLC25A5	ENSG00000005022_SLC25A5	1274
ENSG00000005059_CCDC109B	ENSG00000005059_CCDC109B	2270
ENSG00000005073_HOXA11	ENSG00000005073_HOXA11	2295
ENSG00000005075_POLR2J	ENSG00000005075_POLR2J	932
ENSG00000005100_DHX33	ENSG00000005100_DHX33	5618
ENSG00000005102_MEOX1	ENSG00000005102_MEOX1	2707
ENSG00000005108_THSD7A	ENSG00000005108_THSD7A	10663
ENSG00000005156_LIG3	ENSG00000005156_LIG3	3721
ENSG00000005175_RPAP3	ENSG00000005175_RPAP3	2332
ENSG00000005187_ACSM3	ENSG00000005187_ACSM3	2845
ENSG00000005189_AC004381.6	ENSG00000005189_AC004381.6	2719
ENSG00000005194_CIAPIN1	ENSG00000005194_CIAPIN1	2182
ENSG00000005238_FAM214B	ENSG00000005238_FAM214B	5771
ENSG00000005243_COPZ2	ENSG00000005243_COPZ2	886
ENSG00000005249_PRKAR2B	ENSG00000005249_PRKAR2B	3745
ENSG00000005302_MSL3	ENSG00000005302_MSL3	3446
ENSG00000005339_CREBBP	ENSG00000005339_CREBBP	10803
ENSG00000005379_BZRAP1	ENSG00000005379_BZRAP1	7626
ENSG00000005381_MPO	ENSG00000005381_MPO	3311
ENSG00000005421_PON1	ENSG00000005421_PON1	2568
ENSG00000005436_GCFC2	ENSG00000005436_GCFC2	4440
ENSG00000005448_WDR54	ENSG00000005448_WDR54	1147
ENSG00000005469_CROT	ENSG00000005469_CROT	3175
ENSG00000005471_ABCB4	ENSG00000005471_ABCB4	4020
ENSG00000005483_KMT2E	ENSG00000005483_KMT2E	7013
ENSG00000005486_RHBDD2	ENSG00000005486_RHBDD2	1878
ENSG00000005513_SOX8	ENSG00000005513_SOX8	3049
ENSG00000005700_IBTK	ENSG00000005700_IBTK	6054
ENSG00000005801_ZNF195	ENSG00000005801_ZNF195	2970
ENSG00000005810_MYCBP2	ENSG00000005810_MYCBP2	15025
ENSG00000005812_FBXL3	ENSG00000005812_FBXL3	3503
ENSG00000005844_ITGAL	ENSG00000005844_ITGAL	5213
ENSG00000005882_PDK2	ENSG00000005882_PDK2	3440
ENSG00000005884_ITGA3	ENSG00000005884_ITGA3	4888
ENSG00000005889_ZFX	ENSG00000005889_ZFX	7558
ENSG00000005893_LAMP2	ENSG00000005893_LAMP2	4030
ENSG00000005955_GGNBP2	ENSG00000005955_GGNBP2	2847
ENSG00000005961_ITGA2B	ENSG00000005961_ITGA2B	3333
ENSG00000005981_ASB4	ENSG00000005981_ASB4	3825
ENSG00000006007_GDE1	ENSG00000006007_GDE1	2954
ENSG00000006015_C19orf60	ENSG00000006015_C19orf60	839
ENSG00000006016_CRLF1	ENSG00000006016_CRLF1	1792
ENSG00000006025_OSBPL7	ENSG00000006025_OSBPL7	4104
ENSG00000006042_TMEM98	ENSG00000006042_TMEM98	4434
ENSG00000006047_YBX2	ENSG00000006047_YBX2	1590
ENSG00000006059_KRT33A	ENSG00000006059_KRT33A	1287
ENSG00000006071_ABCC8	ENSG00000006071_ABCC8	4981
ENSG00000006074_CCL18	ENSG00000006074_CCL18	1324
ENSG00000006075_CCL3	ENSG00000006075_CCL3	778
ENSG00000006114_SYNRG	ENSG00000006114_SYNRG	8229
ENSG00000006116_CACNG3	ENSG00000006116_CACNG3	3088
ENSG00000006118_TMEM132A	ENSG00000006118_TMEM132A	3480
ENSG00000006125_AP2B1	ENSG00000006125_AP2B1	6085
ENSG00000006128_TAC1	ENSG00000006128_TAC1	1239
ENSG00000006194_ZNF263	ENSG00000006194_ZNF263	3830
ENSG00000006210_CX3CL1	ENSG00000006210_CX3CL1	5796
ENSG00000006282_SPATA20	ENSG00000006282_SPATA20	3539
ENSG00000006283_CACNA1G	ENSG00000006283_CACNA1G	7848
ENSG00000006327_TNFRSF12A	ENSG00000006327_TNFRSF12A	1133
ENSG00000006377_DLX6	ENSG00000006377_DLX6	2304
ENSG00000006432_MAP3K9	ENSG00000006432_MAP3K9	11169
ENSG00000006451_RALA	ENSG00000006451_RALA	2880
ENSG00000006453_BAIAP2L1	ENSG00000006453_BAIAP2L1	3622
ENSG00000006459_JHDM1D	ENSG00000006459_JHDM1D	9272
ENSG00000006468_ETV1	ENSG00000006468_ETV1	6752
ENSG00000006530_AGK	ENSG00000006530_AGK	3849
ENSG00000006534_ALDH3B1	ENSG00000006534_ALDH3B1	2849
ENSG00000006555_TTC22	ENSG00000006555_TTC22	3345
ENSG00000006576_PHTF2	ENSG00000006576_PHTF2	5005
ENSG00000006606_CCL26	ENSG00000006606_CCL26	703
ENSG00000006607_FARP2	ENSG00000006607_FARP2	6065
ENSG00000006611_USH1C	ENSG00000006611_USH1C	2700
ENSG00000006625_GGCT	ENSG00000006625_GGCT	1173
ENSG00000006634_DBF4	ENSG00000006634_DBF4	3907
ENSG00000006638_TBXA2R	ENSG00000006638_TBXA2R	2608
ENSG00000006652_IFRD1	ENSG00000006652_IFRD1	2290
ENSG00000006659_LGALS14	ENSG00000006659_LGALS14	774
ENSG00000006695_COX10	ENSG00000006695_COX10	2873
ENSG00000006704_GTF2IRD1	ENSG00000006704_GTF2IRD1	5868
ENSG00000006712_PAF1	ENSG00000006712_PAF1	2066
ENSG00000006715_VPS41	ENSG00000006715_VPS41	5903
ENSG00000006740_ARHGAP44	ENSG00000006740_ARHGAP44	4228
ENSG00000006744_ELAC2	ENSG00000006744_ELAC2	3148
ENSG00000006747_SCIN	ENSG00000006747_SCIN	3137
ENSG00000006756_ARSD	ENSG00000006756_ARSD	5159
ENSG00000006757_PNPLA4	ENSG00000006757_PNPLA4	3372
ENSG00000006788_MYH13	ENSG00000006788_MYH13	6296
ENSG00000006831_ADIPOR2	ENSG00000006831_ADIPOR2	4018
ENSG00000006837_CDKL3	ENSG00000006837_CDKL3	2160
ENSG00000007001_UPP2	ENSG00000007001_UPP2	2435
ENSG00000007038_PRSS21	ENSG00000007038_PRSS21	1159
ENSG00000007047_MARK4	ENSG00000007047_MARK4	5209
ENSG00000007062_PROM1	ENSG00000007062_PROM1	4349
ENSG00000007080_CCDC124	ENSG00000007080_CCDC124	1055
ENSG00000007129_CEACAM21	ENSG00000007129_CEACAM21	1691
ENSG00000007168_PAFAH1B1	ENSG00000007168_PAFAH1B1	5497
ENSG00000007171_NOS2	ENSG00000007171_NOS2	4176
ENSG00000007174_DNAH9	ENSG00000007174_DNAH9	13750
ENSG00000007202_KIAA0100	ENSG00000007202_KIAA0100	7407
ENSG00000007216_SLC13A2	ENSG00000007216_SLC13A2	2855
ENSG00000007237_GAS7	ENSG00000007237_GAS7	8033
ENSG00000007255_TRAPPC6A	ENSG00000007255_TRAPPC6A	805
ENSG00000007264_MATK	ENSG00000007264_MATK	2133
ENSG00000007306_CEACAM7	ENSG00000007306_CEACAM7	2489
ENSG00000007312_CD79B	ENSG00000007312_CD79B	1269
ENSG00000007314_SCN4A	ENSG00000007314_SCN4A	7805
ENSG00000007341_ST7L	ENSG00000007341_ST7L	4528
ENSG00000007350_TKTL1	ENSG00000007350_TKTL1	2642
ENSG00000007372_PAX6	ENSG00000007372_PAX6	6922
ENSG00000007376_RPUSD1	ENSG00000007376_RPUSD1	2159
ENSG00000007384_RHBDF1	ENSG00000007384_RHBDF1	2992
